ID,icx,icy,mag,mag_std,sky,niter,CHI,SHARP,ra,dec,ifuslot,xfplane,yfplane
2,23.937,33.184,20.868,0.1079,0.308,7.0,0.28,-1.291,207.67444608762708,51.243554581511766,026,-152.263,-343.516
1,8.145,15.415,19.021,0.0402,0.144,7.0,0.37,0.283,207.61992146914457,51.22230102607602,015,-68.055,-461.285
1,13.168,19.378,18.18,0.036,-0.097,7.0,0.58,0.337,207.62149342647427,51.3734284076025,063,136.968,42.678
1,6.745,18.999,20.324,0.0705,-0.109,5.0,0.28,0.324,207.68243782904557,51.38770783192483,074,30.187000000000005,142.639
2,51.17,22.057,19.207,0.0781,0.407,5.0,0.19,0.165,207.6646962639407,51.39322497988602,074,74.61200000000001,145.697
1,38.78,0.658,20.33,0.174,0.346,5.0,0.16,-0.198,207.70707550741255,51.3755188605722,075,-37.77199999999999,123.364
3,5.683,32.774,12.928,0.0235,5.601,7.0,3.91,0.124,207.7261641060933,51.38022495600679,075,-70.869,155.48000000000002
2,50.382,31.124,20.292,0.0903,-2.833,8.0,0.59,-0.007,207.7075135388703,51.38457038483934,075,-26.169999999999998,153.83
3,29.568,50.29,18.119,0.0669,0.261,6.0,1.05,0.901,207.7329060696258,51.263335141742566,037,-246.553,-227.196
1,28.847,7.157,19.523,0.0573,-0.146,7.0,0.42,0.892,207.72584566999737,51.25219647889877,037,-247.274,-270.329
2,32.311,26.742,19.619,0.0525,0.197,7.0,0.34,0.546,207.72776573046687,51.257588908361186,037,-243.81,-250.744
1,34.101,23.629,18.594,0.0441,0.448,7.0,0.56,0.815,207.68563779367577,51.26777317526527,036,-142.105,-253.326
2,27.652,29.911,19.33,0.0542,0.286,7.0,0.44,0.785,207.68935188455316,51.268697281054855,036,-148.554,-247.04399999999998
3,1.256,30.721,19.052,0.0529,-0.879,7.0,0.31,0.104,207.70031119572346,51.266091093172136,036,-174.95,-246.23399999999998
